model,score,rating_q025,rating_q975,CI,avg_tokens,date
o1-mini-2024-09-12,91.98,90.82,93.11,"(-1.16, +1.13)",1399.0,2025-02-15
o1-preview-2024-09-12,90.38,88.9,91.58,"(-1.48, +1.20)",1193.0,2025-02-15
claude-3-5-sonnet-20241022,85.22,83.81,86.96,"(-1.41, +1.74)",691.0,2025-02-15
athene-v2-chat,85.04,83.46,86.75,"(-1.58, +1.71)",884.0,2025-02-15
llama-3.1-nemotron-70b-instruct,84.91,82.87,86.69,"(-2.04, +1.78)",869.0,2025-02-15
gpt-4-turbo-2024-04-09,82.63,80.96,84.32,"(-1.67, +1.69)",662.0,2025-02-15
yi-lightning,81.55,79.48,82.9,"(-2.07, +1.35)",875.0,2025-02-15
claude-3-5-sonnet-20240620,79.35,77.43,81.43,"(-1.92, +2.08)",567.0,2025-02-15
gpt-4o-2024-05-13,79.21,77.5,80.93,"(-1.71, +1.72)",696.0,2025-02-15
qwen2.5-72b-instruct,78.05,75.8,80.0,"(-2.25, +1.95)",821.0,2025-02-15
gpt-4-0125-preview,77.96,76.35,79.73,"(-1.61, +1.77)",619.0,2025-02-15
gpt-4o-2024-08-06,77.89,75.7,79.66,"(-2.19, +1.77)",594.0,2025-02-15
athene-70b-0725,76.83,74.75,78.99,"(-2.08, +2.16)",683.0,2025-02-15
gpt-4o-mini-2024-07-18,74.94,72.99,76.56,"(-1.95, +1.62)",668.0,2025-02-15
gemini-1.5-pro-api-0514,71.96,69.64,74.38,"(-2.32, +2.42)",676.0,2025-02-15
yi-large-preview,71.48,69.42,73.44,"(-2.06, +1.96)",720.0,2025-02-15
mistral-large-2407,70.42,68.51,72.72,"(-1.91, +2.30)",623.0,2025-02-15
llama-3.1-405b-instruct-fp8,69.33,66.79,71.33,"(-2.54, +2.00)",658.0,2025-02-15
llama-3.1-405b-instruct-fp8-no-sys-prompt,64.2,62.07,66.42,"(-2.13, +2.22)",635.0,2025-02-15
glm-4-0520,63.84,60.68,65.55,"(-3.16, +1.71)",636.0,2025-02-15
yi-large,63.7,61.59,66.12,"(-2.11, +2.42)",626.0,2025-02-15
deepseek-coder-v2,62.3,60.04,64.35,"(-2.26, +2.05)",578.0,2025-02-15
claude-3-opus-20240229,60.36,58.14,62.66,"(-2.22, +2.30)",541.0,2025-02-15
gemma-2-27b-it,57.51,54.86,59.71,"(-2.65, +2.20)",577.0,2025-02-15
llama-3.1-70b-instruct,55.73,53.36,58.22,"(-2.37, +2.49)",628.0,2025-02-15
glm-4-0116,55.72,53.03,58.4,"(-2.69, +2.68)",622.0,2025-02-15
gemini-1.5-pro-api-0409-preview,53.37,51.26,55.73,"(-2.11, +2.36)",478.0,2025-02-15
glm-4-air,50.88,48.7,53.18,"(-2.18, +2.30)",619.0,2025-02-15
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2025-02-15
gemini-1.5-flash-api-0514,49.61,46.94,51.91,"(-2.67, +2.30)",642.0,2025-02-15
qwen2-72b-instruct,46.86,44.73,48.96,"(-2.13, +2.10)",515.0,2025-02-15
claude-3-sonnet-20240229,46.8,44.06,49.8,"(-2.74, +3.00)",552.0,2025-02-15
llama-3-70b-instruct,46.57,44.03,48.65,"(-2.54, +2.08)",591.0,2025-02-15
krikri-annealing-sft-stage2-dpo_max-length-norm-fixes_on_policy-checkpoint-1560,45.8,43.09,47.92,"(-2.71, +2.12)",644.0,2025-02-15
krikri-annealing-sft-stage2-dpo_max-length-norm-fixes_on_policy,45.79,43.32,47.59,"(-2.47, +1.80)",638.0,2025-02-15
llama-3.1-nemotron-51b-instruct,45.41,43.33,47.47,"(-2.08, +2.06)",747.0,2025-02-15
gemma-2-9b-it,41.99,39.82,44.35,"(-2.17, +2.36)",541.0,2025-02-15
claude-3-haiku-20240307,41.47,38.89,44.04,"(-2.58, +2.57)",505.0,2025-02-15
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,41.09,38.63,43.91,"(-2.46, +2.82)",613.0,2025-02-15
gpt-4-0613,37.9,36.08,41.05,"(-1.82, +3.15)",354.0,2025-02-15
mistral-large-2402,37.71,35.25,39.93,"(-2.46, +2.22)",400.0,2025-02-15
mixtral-8x22b-instruct-v0.1,36.36,33.9,38.54,"(-2.46, +2.18)",430.0,2025-02-15
qwen1.5-72b-chat,36.12,33.9,38.08,"(-2.22, +1.96)",474.0,2025-02-15
phi-3-medium-4k-instruct,33.37,31.33,35.2,"(-2.04, +1.83)",517.0,2025-02-15
command-r-plus,33.07,30.59,35.24,"(-2.48, +2.17)",541.0,2025-02-15
mistral-medium,31.9,30.16,34.2,"(-1.74, +2.30)",485.0,2025-02-15
internlm2-20b-5-chat,31.2,29.23,33.13,"(-1.97, +1.93)",576.0,2025-02-15
phi-3-small-8k-instruct,29.77,27.72,31.66,"(-2.05, +1.89)",568.0,2025-02-15
mistral-next,27.37,25.09,29.68,"(-2.28, +2.31)",297.0,2025-02-15
gpt-3.5-turbo-0613,24.82,22.89,27.08,"(-1.93, +2.26)",401.0,2025-02-15
dbrx-instruct-preview,24.63,22.33,26.53,"(-2.30, +1.90)",415.0,2025-02-15
internlm2-20b-chat,24.45,22.55,26.78,"(-1.90, +2.33)",667.0,2025-02-15
claude-2.0,23.99,22.08,25.81,"(-1.91, +1.82)",295.0,2025-02-15
mixtral-8x7b-instruct-v0.1,23.4,21.21,25.27,"(-2.19, +1.87)",457.0,2025-02-15
gpt-3.5-turbo-0125,23.34,21.25,25.06,"(-2.09, +1.72)",329.0,2025-02-15
yi-34b-chat,23.15,21.57,24.8,"(-1.58, +1.65)",611.0,2025-02-15
starling-lm-7b-beta,23.01,20.91,25.14,"(-2.10, +2.13)",530.0,2025-02-15
claude-2.1,22.77,21.11,25.05,"(-1.66, +2.28)",290.0,2025-02-15
llama-3.1-8b-instruct,21.34,19.18,23.6,"(-2.16, +2.26)",861.0,2025-02-15
snorkel-mistral-pairrm-dpo,20.73,18.89,22.33,"(-1.84, +1.60)",564.0,2025-02-15
llama-3-8b-instruct,20.56,18.43,22.39,"(-2.13, +1.83)",585.0,2025-02-15
gpt-3.5-turbo-1106,18.87,17.36,20.63,"(-1.51, +1.76)",285.0,2025-02-15
gpt-3.5-turbo-0314,18.05,16.37,20.01,"(-1.68, +1.96)",334.0,2025-02-15
gemini-pro,17.8,16.17,19.15,"(-1.63, +1.35)",322.0,2025-02-15
snowflake-arctic-instruct,17.61,16.13,19.27,"(-1.48, +1.66)",365.0,2025-02-15
command-r,17.02,15.49,18.73,"(-1.53, +1.71)",432.0,2025-02-15
phi-3-mini-128k-instruct,15.43,13.5,17.02,"(-1.93, +1.59)",609.0,2025-02-15
tulu-2-dpo-70b,14.99,13.53,16.54,"(-1.46, +1.55)",550.0,2025-02-15
starling-lm-7b-alpha,12.8,11.49,14.38,"(-1.31, +1.58)",483.0,2025-02-15
mistral-7b-instruct,12.57,11.1,14.09,"(-1.47, +1.52)",541.0,2025-02-15
gemma-1.1-7b-it,12.09,10.58,13.68,"(-1.51, +1.59)",341.0,2025-02-15
llama-2-70b-chat,11.55,9.89,12.99,"(-1.66, +1.44)",595.0,2025-02-15
krikri-annealing-sft-stage2-run4,10.06,8.25,12.26,"(-1.81, +2.20)",630.0,2025-02-15
vicuna-33b,8.63,7.55,9.53,"(-1.08, +0.90)",451.0,2025-02-15
gemma-7b-it,7.47,6.42,8.58,"(-1.05, +1.11)",378.0,2025-02-15
gemma-1.1-2b-it,3.37,2.62,4.07,"(-0.75, +0.70)",316.0,2025-02-15
gemma-2b-it,3.0,2.31,3.63,"(-0.69, +0.63)",369.0,2025-02-15
