model,score,rating_q025,rating_q975,CI,avg_tokens,date
aya-expanse-32b,100.0,50.0,50.0,"(-50.00, +-50.00)",599.0,2025-02-17
o1-mini-2024-09-12,91.98,91.18,92.99,"(-0.80, +1.01)",1399.0,2025-02-17
o1-preview-2024-09-12,90.38,88.9,91.53,"(-1.48, +1.15)",1193.0,2025-02-17
claude-3-5-sonnet-20241022,85.22,83.54,86.81,"(-1.68, +1.59)",691.0,2025-02-17
athene-v2-chat,85.04,83.24,86.47,"(-1.80, +1.43)",884.0,2025-02-17
llama-3.1-nemotron-70b-instruct,84.91,83.18,86.68,"(-1.73, +1.77)",869.0,2025-02-17
gpt-4-turbo-2024-04-09,82.63,81.08,84.46,"(-1.55, +1.83)",662.0,2025-02-17
yi-lightning,81.55,79.61,83.32,"(-1.94, +1.77)",875.0,2025-02-17
claude-3-5-sonnet-20240620,79.35,77.28,81.59,"(-2.07, +2.24)",567.0,2025-02-17
gpt-4o-2024-05-13,79.21,77.4,81.28,"(-1.81, +2.07)",696.0,2025-02-17
qwen2.5-72b-instruct,78.05,76.09,80.53,"(-1.96, +2.48)",821.0,2025-02-17
gpt-4-0125-preview,77.96,76.01,79.72,"(-1.95, +1.76)",619.0,2025-02-17
gpt-4o-2024-08-06,77.89,75.4,80.15,"(-2.49, +2.26)",594.0,2025-02-17
athene-70b-0725,76.83,74.55,79.08,"(-2.28, +2.25)",683.0,2025-02-17
gpt-4o-mini-2024-07-18,74.94,72.63,77.22,"(-2.31, +2.28)",668.0,2025-02-17
gemini-1.5-pro-api-0514,71.96,69.53,74.37,"(-2.43, +2.41)",676.0,2025-02-17
yi-large-preview,71.48,69.62,74.12,"(-1.86, +2.64)",720.0,2025-02-17
mistral-large-2407,70.42,68.44,72.83,"(-1.98, +2.41)",623.0,2025-02-17
llama-3.1-405b-instruct-fp8,69.33,66.95,71.37,"(-2.38, +2.04)",658.0,2025-02-17
llama-3.1-405b-instruct-fp8-no-sys-prompt,64.2,62.06,66.27,"(-2.14, +2.07)",635.0,2025-02-17
glm-4-0520,63.84,61.02,66.04,"(-2.82, +2.20)",636.0,2025-02-17
yi-large,63.7,61.6,66.06,"(-2.10, +2.36)",626.0,2025-02-17
deepseek-coder-v2,62.3,60.04,64.98,"(-2.26, +2.68)",578.0,2025-02-17
claude-3-opus-20240229,60.36,58.07,62.85,"(-2.29, +2.49)",541.0,2025-02-17
gemma-2-27b-it,57.51,55.4,59.65,"(-2.11, +2.14)",577.0,2025-02-17
